,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,ReadingScore,WritingScore,MathScore
0,female,,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,74,71
1,female,group C,some college,standard,,married,sometimes,yes,0,,05-Oct,90,88,69
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,93,91,87
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,,05-Oct,56,42,45
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,05-Oct,78,75,76
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,05-Oct,84,79,73
6,female,group B,some college,standard,completed,widowed,never,no,1,private,05-Oct,93,89,85
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,43,39,41
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,64,68,65
9,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,59,50,37
10,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,05-Oct,54,52,58
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,52,43,40
12,female,group B,high school,standard,none,married,regularly,no,1,private,05-Oct,82,74,66
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,73,71,80
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,53,58,48
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,,75,78,69
16,male,group C,high school,standard,,married,sometimes,yes,0,school_bus,05-Oct,89,86,88
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,05-Oct,32,28,18
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,05-Oct,42,47,46
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,56,58,50
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,05-Oct,69,63,66
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,05-Oct,75,70,65
22,male,group D,,standard,none,married,never,yes,5,,05-Oct,53,51,42
23,female,group C,some high school,standard,none,divorced,never,no,3,,05-Oct,71,71,66
24,male,group D,,free/reduced,completed,married,sometimes,yes,2,school_bus,05-Oct,71,80,74
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,05-Oct,76,76,75
