,ReadingScore,WritingScore,MathScore,Passed
0,71,74,71,0
1,90,88,69,1
2,93,91,87,1
3,56,42,45,0
4,78,75,76,1
5,84,79,73,1
6,93,89,85,1
7,43,39,41,0
8,64,68,65,0
9,59,50,37,0
10,54,52,58,0
11,52,43,40,0
12,82,74,66,0
13,73,71,80,0
14,53,58,48,0
15,75,78,69,0
16,89,86,88,1
17,32,28,18,0
18,42,47,46,0
19,56,58,50,0
20,69,63,66,0
21,75,70,65,0
22,53,51,42,0
23,71,71,66,0
24,71,80,74,1
25,76,76,75,1
26,53,53,66,0
27,70,76,69,0
28,70,65,70,0
29,72,72,66,0
30,65,61,63,0
31,73,66,56,0
32,42,38,40,0
33,87,82,97,1
34,81,79,81,1
35,82,85,76,1
36,64,60,51,0
37,91,90,77,1
38,56,58,58,0
39,60,52,53,0
40,74,69,59,0
41,65,67,60,0
42,55,52,48,0
43,53,55,63,0
44,72,77,67,0
45,84,82,82,1
46,55,48,54,0
47,68,68,76,0
48,45,43,56,0
49,78,75,88,1
50,86,90,75,1
51,41,43,33,0
52,86,87,84,1
53,55,49,52,0
54,60,60,61,0
55,17,10,0,0
56,39,34,39,0
57,61,55,62,0
58,58,59,59,0
59,62,58,63,0
60,37,37,45,0
61,73,75,61,0
62,58,57,62,0
63,64,57,39,0
64,55,64,64,0
65,51,49,42,0
66,56,54,59,0
67,48,40,47,0
68,41,38,44,0
69,25,21,28,0
70,79,83,82,1
71,75,73,62,0
72,68,68,60,0
73,50,52,49,0
74,45,45,49,0
75,47,54,50,0
76,64,64,74,0
77,38,33,40,0
78,80,82,73,1
79,81,86,73,1
80,71,74,71,0
81,69,67,57,0
82,87,83,75,1
83,34,36,27,0
84,77,69,68,0
85,46,52,45,0
86,87,94,81,1
87,65,61,63,0
88,69,66,59,0
89,69,64,61,0
90,66,62,64,0
91,67,67,79,0
92,74,74,68,0
93,92,91,87,1
94,44,48,61,0
95,88,94,100,1
96,67,72,58,0
97,100,100,87,1
98,63,64,66,0
99,76,70,52,0
100,64,73,72,0
101,90,99,79,1
102,55,50,63,0
103,53,47,54,0
104,56,51,47,0
105,99,100,98,1
106,77,74,84,1
107,83,79,72,1
108,80,77,75,1
109,64,63,54,0
110,69,65,55,0
111,90,86,76,1
112,87,90,88,1
113,94,95,90,1
114,57,56,63,0
115,79,73,82,1
116,94,85,86,1
117,68,67,72,0
118,76,74,64,0
119,81,72,77,1
120,49,52,52,0
121,84,82,87,1
122,36,40,52,0
123,75,71,89,1
124,78,80,70,1
125,80,76,76,1
126,54,47,56,0
127,54,41,51,0
128,54,54,67,0
129,66,67,59,0
130,61,70,73,0
131,72,71,76,0
132,62,65,60,0
133,54,54,41,0
134,43,47,57,0
135,74,79,90,1
136,38,33,21,0
137,73,79,65,0
138,100,95,100,1
139,67,69,62,0
140,68,64,57,0
141,49,47,54,0
142,65,58,58,0
143,88,88,69,1
144,75,79,67,0
145,59,58,58,0
146,87,89,62,1
147,63,66,70,0
148,78,74,82,1
149,88,85,75,1
150,53,52,48,0
151,53,49,52,0
152,89,86,76,1
153,100,100,96,1
154,51,51,53,0
155,79,83,62,0
156,84,79,70,1
157,75,77,76,1
158,86,76,91,1
159,84,78,76,1
160,67,70,63,0
161,50,52,41,0
162,92,89,81,1
163,53,56,44,0
164,76,77,70,0
165,72,65,54,0
166,100,100,99,1
167,68,75,60,0
168,64,66,46,0
169,50,47,50,0
170,67,68,63,0
171,65,62,61,0
172,73,62,75,0
173,66,68,62,0
174,51,45,47,0
175,86,85,74,1
176,65,69,66,0
177,81,77,73,1
178,64,66,62,0
179,62,63,79,0
180,85,87,69,1
181,54,52,60,0
182,67,63,57,0
183,56,52,56,0
184,54,57,47,0
185,80,77,80,1
186,83,86,66,1
187,79,75,63,0
188,77,69,69,0
189,70,69,58,0
190,40,42,58,0
191,69,76,71,0
192,62,63,84,0
193,81,77,83,1
194,80,76,73,1
195,61,66,58,0
196,77,77,77,1
197,28,27,35,0
198,62,60,42,0
199,51,57,61,0
200,91,81,87,1
201,84,76,86,1
202,84,86,80,1
203,41,39,33,0
204,75,68,64,0
205,55,54,59,0
206,69,75,57,0
207,86,74,89,1
208,65,62,55,0
209,81,76,88,1
210,67,76,55,0
211,55,52,43,0
212,72,71,72,0
213,50,55,58,0
214,72,64,68,0
215,97,98,93,1
216,64,67,78,0
217,43,43,47,0
218,86,83,67,1
219,88,79,94,1
220,83,85,85,1
221,77,80,84,1
222,65,67,62,0
223,59,72,62,0
224,53,53,57,0
225,80,80,84,1
226,69,67,75,0
227,84,85,82,1
228,50,43,58,0
229,73,69,74,0
230,74,69,82,1
231,77,75,91,1
232,70,68,58,0
233,63,60,63,0
234,60,54,70,0
235,49,49,47,0
236,82,83,70,1
237,70,70,60,0
238,80,72,80,1
239,52,52,54,0
240,73,70,62,0
241,71,66,62,0
242,78,78,80,1
243,80,78,65,0
244,79,78,79,1
245,50,52,45,0
246,93,90,99,1
247,73,68,76,0
248,41,40,57,0
249,73,79,61,0
250,73,78,71,0
251,94,99,93,1
252,76,70,71,0
253,63,61,69,0
254,48,42,57,0
255,53,59,48,0
256,70,71,65,0
257,83,74,85,1
258,78,73,83,1
259,90,91,82,1
260,62,73,57,0
261,86,80,65,1
262,56,57,73,0
263,48,46,45,0
264,80,86,75,1
265,76,76,67,0
266,45,46,36,0
267,80,79,78,1
268,83,90,99,1
269,87,80,64,1
270,73,74,85,1
271,77,78,79,1
272,70,68,76,0
273,71,68,83,0
274,59,55,61,0
275,74,76,66,0
276,78,82,80,1
277,61,59,66,0
278,41,44,47,0
279,75,69,73,0
280,45,50,39,0
281,86,75,89,1
282,75,77,76,1
283,53,52,55,0
284,83,80,66,1
285,77,65,82,0
286,76,85,76,1
287,67,69,69,0
288,88,83,100,1
289,52,45,52,0
290,73,70,56,0
291,56,52,48,0
292,76,80,73,1
293,58,54,62,0
294,61,68,67,0
295,68,70,70,0
296,66,66,73,0
297,80,88,74,1
298,72,78,83,1
299,69,67,61,0
300,64,63,55,0
301,77,82,64,0
302,85,78,74,1
303,80,80,70,1
304,52,51,40,0
305,45,42,39,0
306,90,94,82,1
307,61,62,61,0
308,23,19,29,0
309,75,77,82,1
310,54,49,39,0
311,59,61,70,0
312,36,34,45,0
313,55,52,61,0
314,78,81,90,1
315,93,95,83,1
316,69,67,62,0
317,71,70,78,0
318,51,44,50,0
319,37,26,23,0
320,55,60,35,0
321,62,54,61,0
322,74,64,62,0
323,74,72,66,0
324,70,65,64,0
325,72,67,78,0
326,80,75,72,1
327,61,57,62,0
328,93,95,76,1
329,76,79,92,1
330,65,69,52,0
331,57,53,67,0
332,76,78,61,0
333,57,57,45,0
334,68,66,55,0
335,74,73,64,0
336,61,61,63,0
337,65,67,40,0
338,88,87,77,1
339,61,57,56,0
340,85,79,87,1
341,58,59,53,0
342,33,31,26,0
343,60,59,60,0
344,59,62,51,0
345,58,53,69,0
346,67,63,64,0
347,64,58,44,0
348,83,84,71,1
349,78,72,86,1
350,73,70,45,0
351,75,73,76,0
352,98,97,84,1
353,71,74,60,0
354,91,83,82,1
355,95,100,85,1
356,84,78,73,1
357,64,63,67,0
358,86,83,80,1
359,98,93,84,1
360,82,73,79,1
361,50,47,40,0
362,41,40,35,0
363,77,76,69,0
364,71,68,62,0
365,79,68,58,0
366,64,64,62,0
367,70,75,71,0
368,68,60,75,0
369,66,75,74,0
370,68,68,78,0
371,55,58,60,0
372,74,77,65,0
373,65,61,48,0
374,62,57,73,0
375,57,51,56,0
376,54,68,60,0
377,43,43,53,0
378,66,57,51,0
379,99,100,88,1
380,59,63,55,0
381,72,68,62,0
382,66,65,68,0
383,81,78,84,1
384,57,56,52,0
385,83,84,86,1
386,73,78,72,0
387,84,79,86,1
388,66,60,71,0
389,73,80,52,0
390,74,70,86,1
391,72,66,68,0
392,71,65,71,0
393,59,63,70,0
394,56,54,57,0
395,57,64,56,0
396,59,68,47,0
397,83,78,57,0
398,39,34,41,0
399,65,60,60,0
400,84,88,88,1
401,72,66,71,0
402,59,53,65,0
403,63,55,70,0
404,65,57,62,0
405,72,70,61,0
406,54,52,57,0
407,58,49,45,0
408,66,67,75,0
409,48,53,50,0
410,69,65,77,0
411,66,73,75,0
412,55,51,69,0
413,88,82,89,1
414,82,80,69,1
415,81,80,78,1
416,73,69,59,0
417,81,74,70,1
418,82,73,79,1
419,75,78,69,0
420,67,62,73,0
421,83,83,91,1
422,46,43,48,0
423,74,73,83,1
424,85,85,64,1
425,92,97,100,1
426,79,77,68,0
427,57,48,64,0
428,61,63,54,0
429,56,47,37,0
430,89,89,79,1
431,54,49,54,0
432,100,100,100,1
433,65,68,72,0
434,57,55,52,0
435,54,45,54,0
436,68,74,68,0
437,90,91,77,1
438,58,62,75,0
439,87,91,84,1
440,31,38,26,0
441,69,67,76,0
442,89,87,79,1
443,75,77,93,1
444,85,90,83,1
445,68,74,62,0
446,86,84,68,1
447,66,60,57,0
448,90,91,90,1
449,77,84,73,1
450,62,66,76,0
451,68,72,80,0
452,64,70,53,0
453,72,68,78,0
454,71,68,73,0
455,59,56,52,0
456,69,62,70,0
457,52,46,59,0
458,51,54,48,0
459,72,69,67,0
460,47,56,61,0
461,75,74,60,0
462,53,58,65,0
463,80,79,76,1
464,84,76,64,0
465,64,70,64,0
466,83,90,83,1
467,86,88,78,1
468,63,68,53,0
469,64,66,68,0
470,47,52,53,0
471,78,76,59,0
472,69,70,73,0
473,80,84,74,1
474,85,90,91,1
475,61,54,63,0
476,91,96,100,1
477,61,57,41,0
478,80,78,79,1
479,71,67,70,0
480,78,77,79,1
481,93,89,88,1
482,71,73,76,0
483,49,42,62,0
484,48,52,61,0
485,61,63,55,0
486,97,94,77,1
487,87,85,76,1
488,89,84,74,1
489,72,71,64,0
490,79,79,67,1
491,78,79,67,0
492,49,52,71,0
493,86,84,91,1
494,58,58,71,0
495,61,52,56,0
496,52,49,53,0
497,60,60,70,0
498,60,58,54,0
499,53,43,36,0
500,40,46,28,0
501,72,68,60,0
502,67,73,68,0
503,53,51,45,0
504,60,56,60,0
505,88,94,79,1
506,70,69,75,0
507,83,83,66,1
508,58,55,47,0
509,65,60,49,0
510,65,69,82,0
511,93,87,99,1
512,69,68,75,0
513,80,78,76,1
514,78,80,83,1
515,97,93,86,1
516,63,66,64,0
517,84,82,80,1
518,100,97,92,1
519,66,64,71,0
520,66,64,61,0
521,72,69,77,0
522,74,63,76,0
523,91,90,89,1
524,47,48,38,0
525,62,65,79,0
526,46,41,56,0
527,40,34,33,0
528,69,69,63,0
529,68,68,51,0
530,66,63,75,0
531,75,79,74,1
532,76,77,66,0
533,89,92,95,1
534,80,80,63,0
535,50,45,46,0
536,42,44,46,0
537,98,97,89,1
538,72,80,61,0
539,47,47,62,0
540,69,68,70,0
541,76,71,73,0
542,94,89,88,1
543,62,57,54,0
544,66,64,50,0
545,82,72,76,1
546,55,53,40,0
547,51,52,61,0
548,89,87,78,1
549,56,59,49,0
550,60,68,52,0
551,95,94,78,1
552,77,78,74,1
553,73,78,63,0
554,76,81,75,1
555,73,73,55,0
556,62,62,43,0
557,63,65,53,0
558,66,65,48,0
559,56,52,56,0
560,61,48,67,0
561,66,62,65,0
562,76,73,74,0
563,100,100,94,1
564,80,73,57,0
565,24,15,30,0
566,53,46,51,0
567,78,74,71,0
568,82,81,65,1
569,60,63,52,0
570,29,30,29,0
571,78,80,76,1
572,57,51,60,0
573,87,88,81,1
574,70,60,72,0
575,82,79,82,1
576,59,55,40,0
577,63,60,59,0
578,62,65,57,0
579,60,63,69,0
580,58,64,56,0
581,88,89,91,1
582,93,93,82,1
583,68,72,60,0
584,45,38,37,0
585,78,83,88,1
586,82,86,95,1
587,70,64,61,0
588,61,55,36,0
589,63,57,63,0
590,51,53,59,0
591,94,83,97,1
592,57,62,60,0
593,96,99,99,1
594,68,61,66,0
595,48,46,61,0
596,57,47,50,0
597,51,56,45,0
598,63,68,64,0
599,60,66,81,0
600,75,82,67,0
601,88,85,75,1
602,74,64,71,0
603,89,84,75,1
604,77,75,88,1
605,72,71,73,0
606,52,52,42,0
607,89,91,76,1
608,78,75,67,0
609,80,82,76,1
610,64,58,67,0
611,79,78,63,0
612,72,67,62,0
613,61,66,62,0
614,53,56,51,0
615,77,78,66,0
616,56,54,52,0
617,81,77,70,1
618,84,96,82,1
619,70,74,65,0
620,79,79,73,1
621,67,67,62,0
622,68,65,79,0
623,66,62,71,0
624,60,58,43,0
625,87,85,90,1
626,65,61,70,0
627,70,69,54,0
628,69,67,65,0
629,63,64,82,0
630,60,60,50,0
631,73,71,63,0
632,83,85,74,1
633,75,62,75,0
634,72,77,81,1
635,73,64,62,0
636,56,49,50,0
637,79,77,71,1
638,84,84,65,1
639,78,79,71,1
640,64,66,50,0
641,78,76,73,1
642,83,77,72,1
643,76,79,83,1
644,61,60,63,0
645,71,74,66,0
646,55,55,63,0
647,40,45,29,0
648,65,68,61,0
649,100,100,97,1
650,75,68,85,1
651,80,76,81,1
652,58,44,53,0
653,90,83,93,1
654,52,51,47,0
655,74,76,70,0
656,75,82,67,0
657,78,74,79,1
658,63,56,49,0
659,90,87,81,1
660,80,88,72,1
661,70,68,57,0
662,78,79,57,0
663,65,57,64,0
664,82,84,81,1
665,65,70,55,0
666,83,87,86,1
667,63,65,61,0
668,62,62,57,0
669,73,66,63,0
670,34,36,47,0
671,59,52,66,0
672,84,75,83,1
673,61,58,42,0
674,84,90,93,1
675,85,85,80,1
676,100,99,98,1
677,81,84,79,1
678,72,77,63,0
679,93,87,75,1
680,75,68,68,0
681,96,99,96,1
682,77,75,78,1
683,70,76,85,1
684,73,71,63,0
685,59,60,56,0
686,89,88,73,1
687,48,43,51,0
688,43,41,48,0
689,71,67,76,0
690,76,78,66,0
691,51,58,70,0
692,90,82,70,1
693,38,37,52,0
694,75,78,65,0
695,45,42,53,0
696,88,93,86,1
697,47,44,55,0
698,57,56,52,0
699,56,57,64,0
700,80,86,94,1
701,66,73,53,0
702,71,73,81,1
703,60,56,62,0
704,72,71,79,0
705,57,56,37,0
706,84,82,81,1
707,73,72,59,0
708,55,48,56,0
709,78,74,71,0
710,76,72,71,0
711,64,68,69,0
712,60,59,50,0
713,84,86,87,1
714,69,68,71,0
715,71,64,67,0
716,77,75,77,1
717,90,85,77,1
